1,The Plague,Albert Camus,4.5,fiction
413,Harry Potter and the Philosopher's Stone,J. K. Rowling,4.5,Juvenile Fiction
219,The Assassin's Blade,Sarah J. Maas,5,fantasy
302,Through the Looking Glass,Lewis Carroll,4,fantasy
91,The Silmarillion,J. R. R. Tolkien,No rating available,Fiction
526,Throne of Glass,Sarah J. Maas,4,Fiction
564,Good Books Matter,"Larry Swartz, Debbie Nyman",5,Children Books
962,Misery,Stephen King,5,horror
